acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,r_square,r_square,r_square,r_square,r_square,r_square,r_square,r_square,r_square,r_square,r_square,r_square,r_square,r_square,r_square,r_square,r_square,config,config,config,config,config,config,config,config,config,config,config,config
10,20,30,40,50,60,70,100,200,350,300,400,450,500,550,600,617,10,20,30,40,50,60,70,100,200,350,300,400,450,500,550,600,617,dataset,normalize,id,model,score,lr,epochs,batch_size,metrics,validation_split,patience,hist_n_times
0.16804487179487176,0.2095512820512821,0.2702564102564103,0.3120192307692307,0.32548076923076924,0.3191025641025641,0.3358333333333333,0.35618589743589746,0.4665705128205128,0.5535897435897434,0.5349999999999999,0.5726282051282052,0.584775641025641,0.5829807692307692,0.5911858974358973,0.60375,0.6014102564102564,0.43545415333647103,0.5256730030908419,0.6335637335081729,0.6685713052567185,0.6911191409436303,0.7028052702409929,0.7167839565359561,0.7293563021165388,0.7629988742823888,0.7747030659616433,0.7710535909156135,0.7776626911633173,0.7791632006379402,0.7799876730970514,0.7803133021705249,0.7813908228303401,0.7817124027163623,mat_loader{'name': 'Isolet'},normalizer{},hardcode{'id': 40},"agnos_w{'activation_hidden': 'tanh', 'activation_output': 'tanh', 'loss': 'mean_squared_error', 'kernel_initializer': 'glorot_normal'}",score_w{},0.01,150,8,['mean_squared_error'],0,0,10
0.2541025641025641,0.326698717948718,0.3865064102564103,0.4395192307692309,0.476378205128205,0.4836217948717947,0.4551923076923077,0.5663141025641025,0.5647756410256409,0.5739102564102564,0.5516025641025639,0.5598076923076923,0.5566025641025643,0.5569871794871795,0.5519551282051283,0.5749679487179488,0.5983653846153846,0.4628396640999317,0.5740590406056555,0.6262408693629127,0.6578010063948126,0.6886803265607973,0.6974805172172656,0.7065859979410343,0.7330409830745818,0.7576062177359238,0.7711457405298008,0.7695527505806984,0.7720463024651283,0.7738685722270021,0.775713709835836,0.7771341724730398,0.7819504110503664,0.7817124027163623,mat_loader{'name': 'Isolet'},normalizer{},hardcode{'id': 40},SPEC{'style': 0},dummy_score{},0.0,150,0,['mean_squared_error'],0,0,10
0.24496794871794875,0.35977564102564097,0.40955128205128216,0.4312820512820513,0.444423076923077,0.4775641025641025,0.4849038461538461,0.4988141025641026,0.5591346153846154,0.5901602564102564,0.5897756410256411,0.5760576923076923,0.580576923076923,0.5978846153846155,0.5933653846153846,0.6023076923076923,0.5958974358974359,0.5954430748546111,0.6786830356138778,0.7099386959544268,0.7245977044219509,0.73984159881239,0.7433340885769956,0.7494759602353896,0.7575591542828289,0.7728813992529492,0.7773116094458062,0.7772840972681979,0.7785783546426235,0.7796801925747805,0.7801833226026046,0.7813806316276275,0.7815500936171179,0.7817124027163623,mat_loader{'name': 'Isolet'},normalizer{},hardcode{'id': 40},"agnos_s{'activation_hidden': 'tanh', 'activation_output': 'tanh', 'loss': 'mean_squared_error', 'kernel_initializer': 'glorot_normal'}",score_s{},0.01,150,8,['mean_squared_error'],0,0,10
